"""In_Degree""","""Out_Degree"""
1,2
1,1
1,2
1,23
0,1
0,14
0,3
1,7
1,1
1,8
0,337
0,5
0,2
0,13
0,2
2,1
1,1
1,1
1,1
0,163
3,12
0,5
1,1
0,2
1,1
1,1
1,1
0,2
1,1
0,3
0,2
0,2
0,2
0,25
0,2
1,1
0,4
0,102
1,1
0,2
0,2
0,2
0,102
0,192
3,2
0,3
0,6
1,2
1,1
1,1
0,141
0,2
0,18
0,337
0,3
0,6
0,2
0,3
2,1
1,19
1,1
1,2
0,141
1,1
1,6
1,1
1,1
0,2
0,3
0,1
0,108
0,2
0,1
1,2
0,1
0,1
1,1
0,2
0,1
0,2
3,0
2,0
2,0
3,0
2,0
2,0
1,0
2,0
1,0
2,0
2,0
2,0
2,0
1,0
2,0
2,0
1,0
3,0
2,0
2,0
2,0
1,0
2,0
3,0
2,0
1,0
2,0
6,0
2,0
2,0
2,0
2,0
1,0
4,0
1,0
1,0
2,0
2,0
2,0
1,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
2,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
2,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
2,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
